,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI
443,98.29,206.35,10.49,32.29,762.0,29.65,1.22,2.53,33.32,2.42,1.62,158.0
445,121.43,164.52,8.95,59.53,1143.0,32.86,0.91,2.47,56.77,1.91,3.13,264.0
446,66.36,190.04,9.51,62.46,1186.0,32.7,0.98,3.93,43.14,1.74,2.25,155.0
447,29.73,186.28,10.09,46.26,1163.0,29.53,0.52,2.38,49.68,1.11,1.05,137.0
448,34.49,180.42,7.52,34.43,690.0,24.5,0.92,3.92,46.87,1.19,1.06,119.0
449,32.59,183.03,4.59,28.33,347.0,22.9,0.9,3.22,55.02,1.85,1.27,137.0
450,56.05,165.97,6.3,29.32,550.0,32.86,2.11,5.56,57.03,2.72,3.04,149.0
451,63.5,175.45,4.97,30.19,530.0,42.56,0.82,5.39,89.88,2.36,2.12,156.0
452,57.92,157.8,6.37,35.15,671.0,50.0,0.86,6.06,48.81,1.95,1.18,123.0
453,48.28,162.1,5.17,23.54,397.0,24.05,0.87,3.42,40.43,1.49,1.17,118.0
454,42.65,142.17,5.45,25.51,463.0,22.67,0.86,4.7,35.06,1.53,1.93,107.0
455,50.78,156.52,5.35,32.46,643.0,23.75,0.82,3.72,44.42,1.85,1.42,111.0
456,49.33,150.05,7.72,35.55,744.0,23.19,0.87,4.51,38.74,2.17,1.61,106.0
457,51.78,159.41,10.62,36.29,815.0,29.64,0.62,2.51,34.73,3.16,2.03,112.0
458,53.54,157.92,8.11,26.49,533.0,19.18,1.0,2.97,34.38,3.58,1.85,110.0
459,54.8,165.25,12.49,39.97,938.0,45.69,0.85,4.65,26.66,4.25,2.3,114.0
460,49.84,215.52,19.66,50.15,1279.0,22.62,1.11,4.27,29.98,3.43,2.08,118.0
461,63.16,254.77,7.65,52.29,769.0,28.88,1.18,3.67,43.57,2.12,1.84,154.0
462,46.24,208.97,3.14,17.79,225.0,23.17,1.19,3.17,67.46,3.08,1.81,179.0
463,34.18,318.02,3.97,17.37,255.0,19.5,1.03,2.2,58.76,1.56,0.9,102.0
464,33.01,152.78,27.61,38.54,1073.0,18.87,1.13,3.61,53.57,1.42,0.94,170.0
465,31.3,144.68,4.2,19.45,302.0,16.4,1.03,2.75,62.4,1.34,0.99,112.0
466,31.68,159.23,4.37,19.05,284.0,20.63,1.86,2.87,58.82,1.78,1.32,138.0
467,36.98,177.82,3.86,14.71,187.0,17.27,1.25,3.1,74.34,2.44,1.9,121.0
468,36.88,159.45,16.58,30.43,832.0,30.91,0.81,5.44,60.73,1.39,1.14,118.0
469,35.46,224.24,9.73,31.64,727.0,25.67,1.08,3.19,109.97,0.98,1.14,171.0
470,35.31,196.65,6.29,18.99,349.0,26.03,1.07,3.9,76.46,1.74,1.19,156.0
471,34.85,171.26,4.84,10.08,141.0,26.81,1.02,3.06,67.25,1.09,1.14,140.0
472,36.9,145.98,3.37,9.89,112.0,24.31,0.78,2.36,77.75,2.29,1.41,114.0
